CODEALERTA,VPRESSAO_original
6853,ilegal_mining
6868,agriculture
6870,agriculture
6871,agriculture
6878,agriculture
6879,agriculture
6880,agriculture
6881,ilegal_mining
6886,agriculture
6908,agriculture
6956,agriculture
7022,agriculture
7027,agriculture
7041,agriculture
7051,agriculture
7053,agriculture
7062,ilegal_mining
7063,ilegal_mining
7065,agriculture
7074,agriculture
7085,ilegal_mining
7106,ilegal_mining
7109,agriculture
7111,ilegal_mining
7112,ilegal_mining
7151,agriculture
7208,agriculture
7240,agriculture
7257,agriculture
7263,agriculture
7332,agriculture
7372,agriculture
7406,agriculture
7446,agriculture
7457,agriculture
7470,agriculture
7472,agriculture
7486,agriculture
7490,agriculture
7504,agriculture
7550,ilegal_mining
7558,agriculture
7598,agriculture
7652,agriculture
7680,ilegal_mining
7682,agriculture
7701,agriculture
7722,ilegal_mining
7787,agriculture
7839,agriculture
7871,agriculture
7874,agriculture
7883,agriculture
7914,agriculture
7922,agriculture
7959,ilegal_mining
7965,ilegal_mining
7982,ilegal_mining
7985,ilegal_mining
8026,agriculture
8031,agriculture
8049,agriculture
8055,agriculture
8073,agriculture
8091,agriculture
8098,agriculture
8106,agriculture
8118,agriculture
8150,ilegal_mining
8159,agriculture
8160,agriculture
8165,ilegal_mining
8180,ilegal_mining
8183,ilegal_mining
8193,ilegal_mining
8197,ilegal_mining
8210,agriculture
8222,agriculture
8230,agriculture
8234,agriculture
8244,agriculture
8245,agriculture
8255,agriculture
8272,ilegal_mining
8273,agriculture
8326,ilegal_mining
8340,agriculture
8342,ilegal_mining
8343,agriculture
8347,agriculture
8392,agriculture
8411,agriculture
8455,ilegal_mining
8479,agriculture
8484,agriculture
8493,agriculture
8497,agriculture
8538,agriculture
8549,agriculture
8553,agriculture
8622,agriculture
8655,agriculture
8731,agriculture
8734,agriculture
8735,ilegal_mining
8740,ilegal_mining
8772,agriculture
8800,ilegal_mining
8841,ilegal_mining
8857,ilegal_mining
8858,ilegal_mining
8868,agriculture
8884,agriculture
8956,agriculture
8990,agriculture
8994,agriculture
9002,agriculture
9004,agriculture
9007,agriculture
9024,ilegal_mining
9050,agriculture
9070,agriculture
9075,agriculture
9077,agriculture
9079,agriculture
9081,agriculture
9113,agriculture
9118,ilegal_mining
9150,agriculture
9210,agriculture
9239,agriculture
9263,agriculture
9281,agriculture
9284,agriculture
9300,agriculture
9304,agriculture
9309,agriculture
9350,agriculture
9364,agriculture
9379,agriculture
9418,agriculture
9426,agriculture
9433,agriculture
9442,ilegal_mining
9447,agriculture
9456,agriculture
9458,agriculture
9505,agriculture
9578,agriculture
9604,agriculture
9609,agriculture
9620,agriculture
9624,agriculture
9634,agriculture
9660,agriculture
9672,ilegal_mining
9689,agriculture
9722,agriculture
9731,agriculture
9795,agriculture
9797,agriculture
9812,agriculture
9815,agriculture
9823,agriculture
9863,agriculture
9881,agriculture
9888,agriculture
9920,agriculture
9924,agriculture
9962,agriculture
9963,agriculture
9994,agriculture
9998,agriculture
10005,agriculture
10159,agriculture
10163,ilegal_mining
10180,ilegal_mining
10181,agriculture
10189,ilegal_mining
10190,ilegal_mining
10195,ilegal_mining
10206,agriculture
10218,agriculture
10292,agriculture
10295,ilegal_mining
10373,agriculture
10464,agriculture
10479,agriculture
10489,agriculture
10532,agriculture
10538,ilegal_mining
10570,agriculture
10578,agriculture
10584,agriculture
10585,agriculture
10608,ilegal_mining
10609,agriculture
10612,agriculture
10637,agriculture
10641,agriculture
10739,agriculture
10742,agriculture
10746,agriculture
10780,ilegal_mining
10815,agriculture
10846,agriculture
10848,agriculture
10855,agriculture
10872,agriculture
10936,agriculture
10983,agriculture
10994,agriculture
11068,ilegal_mining
11123,agriculture
11132,agriculture
11135,agriculture
11136,agriculture
11137,agriculture
11141,agriculture
11144,agriculture
11146,agriculture
11147,agriculture
11167,agriculture
11177,agriculture
11205,ilegal_mining
11212,agriculture
11216,agriculture
11237,ilegal_mining
11240,agriculture
11253,agriculture
11256,agriculture
11260,agriculture
11265,agriculture
11297,agriculture
11310,agriculture
11361,agriculture
11365,urban_expansion
11375,agriculture
11405,agriculture
11417,agriculture
11429,agriculture
11431,agriculture
11452,agriculture
11465,agriculture
11468,agriculture
11470,agriculture
11485,agriculture
11554,agriculture
11584,agriculture
11594,agriculture
11606,agriculture
11629,agriculture
11647,agriculture
11653,agriculture
11659,agriculture
11691,agriculture
11698,agriculture
11706,agriculture
11725,agriculture
11734,agriculture
11790,agriculture
11792,agriculture
11798,agriculture
11799,agriculture
11804,agriculture
11889,agriculture
11891,agriculture
11893,agriculture
11896,agriculture
11904,agriculture
11905,agriculture
11907,ilegal_mining
11913,ilegal_mining
11919,agriculture
11921,agriculture
11925,ilegal_mining
11926,ilegal_mining
11927,ilegal_mining
11953,agriculture
11972,agriculture
12001,agriculture
12010,agriculture
12040,agriculture
12048,ilegal_mining
12049,agriculture
12083,agriculture
12089,agriculture
12091,agriculture
12102,ilegal_mining
12276,ilegal_mining
12324,agriculture
12326,agriculture
12329,ilegal_mining
12330,ilegal_mining
12332,ilegal_mining
12334,ilegal_mining
12344,ilegal_mining
12346,ilegal_mining
12347,ilegal_mining
12349,ilegal_mining
12350,ilegal_mining
12353,ilegal_mining
12354,ilegal_mining
12358,agriculture
12359,agriculture
12363,agriculture
12376,ilegal_mining
12381,ilegal_mining
12391,ilegal_mining
12392,ilegal_mining
12405,ilegal_mining
12435,ilegal_mining
12437,agriculture
12445,ilegal_mining
12447,ilegal_mining
12450,ilegal_mining
12451,ilegal_mining
12452,ilegal_mining
12457,ilegal_mining
12460,ilegal_mining
12465,ilegal_mining
12466,ilegal_mining
12467,ilegal_mining
12469,ilegal_mining
12471,ilegal_mining
12474,ilegal_mining
12484,ilegal_mining
12488,ilegal_mining
12489,ilegal_mining
12493,ilegal_mining
12507,agriculture
12514,ilegal_mining
12638,agriculture
12756,agriculture
12789,agriculture
12790,agriculture
12792,agriculture
12797,agriculture
12839,ilegal_mining
13016,agriculture
13072,ilegal_mining
13073,ilegal_mining
13082,agriculture
13084,ilegal_mining
13088,ilegal_mining
13093,ilegal_mining
13106,agriculture
13115,agriculture
13122,agriculture
13123,agriculture
13124,agriculture
13138,ilegal_mining
13152,ilegal_mining
13171,ilegal_mining
13197,ilegal_mining
13217,ilegal_mining
13221,ilegal_mining
13222,ilegal_mining
13223,ilegal_mining
13226,ilegal_mining
13228,ilegal_mining
13230,ilegal_mining
13233,ilegal_mining
13236,ilegal_mining
13238,ilegal_mining
13240,ilegal_mining
13242,ilegal_mining
13244,ilegal_mining
13246,ilegal_mining
13248,ilegal_mining
13251,ilegal_mining
13253,ilegal_mining
13254,ilegal_mining
13257,ilegal_mining
13258,ilegal_mining
13259,ilegal_mining
13289,agriculture
13390,agriculture
13401,agriculture
13438,agriculture
13447,agriculture
13468,agriculture
13504,agriculture
13518,agriculture
13803,ilegal_mining
13805,agriculture
13812,agriculture
13813,ilegal_mining
13820,ilegal_mining
13822,ilegal_mining
13823,ilegal_mining
13825,ilegal_mining
13826,ilegal_mining
13827,ilegal_mining
13828,ilegal_mining
13854,agriculture
13859,agriculture
13870,agriculture
13882,ilegal_mining
13887,ilegal_mining
13889,ilegal_mining
13899,ilegal_mining
13921,ilegal_mining
13937,agriculture
13944,ilegal_mining
13954,ilegal_mining
13958,ilegal_mining
13960,ilegal_mining
13962,ilegal_mining
13963,ilegal_mining
13964,ilegal_mining
13965,ilegal_mining
13967,ilegal_mining
13971,ilegal_mining
13972,ilegal_mining
13974,ilegal_mining
13975,ilegal_mining
13978,ilegal_mining
13980,ilegal_mining
13984,ilegal_mining
13985,ilegal_mining
13986,ilegal_mining
13988,ilegal_mining
13992,ilegal_mining
13994,ilegal_mining
13995,ilegal_mining
13996,ilegal_mining
13998,ilegal_mining
13999,ilegal_mining
14000,ilegal_mining
14006,ilegal_mining
14007,ilegal_mining
14103,agriculture
14144,agriculture
14258,agriculture
14269,agriculture
14318,ilegal_mining
14319,ilegal_mining
14361,ilegal_mining
14459,ilegal_mining
14460,ilegal_mining
14461,ilegal_mining
14465,ilegal_mining
14472,agriculture
14515,ilegal_mining
14528,ilegal_mining
14529,ilegal_mining
14534,agriculture
14550,agriculture
14563,agriculture
14580,agriculture
14589,ilegal_mining
14647,ilegal_mining
14652,ilegal_mining
14658,ilegal_mining
14659,ilegal_mining
14661,ilegal_mining
14662,ilegal_mining
14664,ilegal_mining
14668,ilegal_mining
14669,ilegal_mining
14670,ilegal_mining
14671,ilegal_mining
14674,ilegal_mining
14675,ilegal_mining
14678,ilegal_mining
14680,ilegal_mining
14681,ilegal_mining
14682,ilegal_mining
14688,ilegal_mining
14691,ilegal_mining
14692,ilegal_mining
14693,ilegal_mining
14859,agriculture
14860,agriculture
14871,agriculture
14880,agriculture
14929,agriculture
14965,agriculture
15007,ilegal_mining
15148,ilegal_mining
15160,ilegal_mining
15186,ilegal_mining
15236,agriculture
15247,ilegal_mining
15249,ilegal_mining
15255,ilegal_mining
15258,ilegal_mining
15265,ilegal_mining
15290,agriculture
15292,agriculture
15299,agriculture
15320,ilegal_mining
15327,ilegal_mining
15341,ilegal_mining
15347,ilegal_mining
15349,ilegal_mining
15353,ilegal_mining
15357,ilegal_mining
15369,agriculture
15394,ilegal_mining
15397,ilegal_mining
15402,ilegal_mining
15403,ilegal_mining
15404,ilegal_mining
15411,ilegal_mining
15413,ilegal_mining
15414,ilegal_mining
15415,ilegal_mining
15416,ilegal_mining
15417,ilegal_mining
15419,ilegal_mining
15420,ilegal_mining
15422,ilegal_mining
15423,ilegal_mining
15425,ilegal_mining
15426,ilegal_mining
15430,ilegal_mining
15433,ilegal_mining
15435,ilegal_mining
15466,agriculture
15568,agriculture
15569,agriculture
15576,agriculture
15702,agriculture
15789,ilegal_mining
15963,agriculture
15970,ilegal_mining
15976,ilegal_mining
15980,ilegal_mining
15981,ilegal_mining
15985,ilegal_mining
15990,ilegal_mining
16001,agriculture
16016,ilegal_mining
16023,ilegal_mining
16027,ilegal_mining
16065,ilegal_mining
16067,ilegal_mining
16071,ilegal_mining
16074,ilegal_mining
16076,ilegal_mining
16081,agriculture
16095,ilegal_mining
16126,ilegal_mining
16127,ilegal_mining
16132,ilegal_mining
16135,ilegal_mining
16140,ilegal_mining
16143,ilegal_mining
16146,ilegal_mining
16148,ilegal_mining
16150,ilegal_mining
16154,ilegal_mining
16156,ilegal_mining
16162,ilegal_mining
16169,ilegal_mining
16171,ilegal_mining
16173,ilegal_mining
16174,ilegal_mining
16306,agriculture
16315,agriculture
16336,agriculture
16465,ilegal_mining
16579,ilegal_mining
16585,ilegal_mining
16586,ilegal_mining
16608,ilegal_mining
16665,agriculture
16679,ilegal_mining
16694,agriculture
16695,agriculture
16696,agriculture
16801,agriculture
16863,agriculture
16865,agriculture
16922,agriculture
16927,agriculture
16979,agriculture
17112,agriculture
17210,agriculture
17222,ilegal_mining
17227,ilegal_mining
17231,ilegal_mining
17234,ilegal_mining
17236,ilegal_mining
17238,ilegal_mining
17239,ilegal_mining
17241,agriculture
17278,agriculture
17285,agriculture
17290,ilegal_mining
17325,agriculture
17332,ilegal_mining
17335,ilegal_mining
17336,ilegal_mining
17339,agriculture
17340,ilegal_mining
17347,ilegal_mining
17349,ilegal_mining
17351,ilegal_mining
17352,ilegal_mining
17355,ilegal_mining
17359,ilegal_mining
17367,ilegal_mining
17369,ilegal_mining
17373,ilegal_mining
17376,ilegal_mining
17377,ilegal_mining
17378,ilegal_mining
17380,ilegal_mining
17383,ilegal_mining
17387,ilegal_mining
17388,ilegal_mining
17390,ilegal_mining
17397,ilegal_mining
17409,agriculture
17433,agriculture
17485,agriculture
17522,agriculture
17572,agriculture
17574,agriculture
17580,agriculture
17731,ilegal_mining
17783,agriculture
17843,agriculture
17868,agriculture
17921,ilegal_mining
17929,ilegal_mining
17931,agriculture
17966,agriculture
17998,ilegal_mining
18009,agriculture
18078,ilegal_mining
18086,agriculture
18099,ilegal_mining
18114,agriculture
18179,agriculture
18215,agriculture
18221,agriculture
18232,ilegal_mining
18242,ilegal_mining
18244,ilegal_mining
18245,ilegal_mining
18257,agriculture
18314,agriculture
18323,agriculture
18369,agriculture
18397,agriculture
18399,agriculture
18442,agriculture
18446,ilegal_mining
18468,ilegal_mining
18510,agriculture
18521,ilegal_mining
18530,ilegal_mining
18661,ilegal_mining
18664,ilegal_mining
18670,ilegal_mining
18671,ilegal_mining
18682,agriculture
18705,ilegal_mining
18727,ilegal_mining
18754,ilegal_mining
18768,ilegal_mining
18775,agriculture
18791,ilegal_mining
18793,ilegal_mining
18794,ilegal_mining
18903,ilegal_mining
18913,ilegal_mining
18914,ilegal_mining
18955,agriculture
18983,ilegal_mining
18997,agriculture
19000,agriculture
19037,agriculture
19049,ilegal_mining
19125,agriculture
19169,agriculture
19198,ilegal_mining
19206,ilegal_mining
19207,ilegal_mining
19295,ilegal_mining
19312,agriculture
19335,agriculture
19340,ilegal_mining
19342,ilegal_mining
19349,ilegal_mining
19361,agriculture
19363,ilegal_mining
19404,agriculture
19418,ilegal_mining
19485,ilegal_mining
19491,ilegal_mining
19509,agriculture
19525,ilegal_mining
19538,agriculture
19601,ilegal_mining
19605,ilegal_mining
19642,agriculture
19646,ilegal_mining
19674,agriculture
19680,ilegal_mining
19706,ilegal_mining
19710,ilegal_mining
19715,agriculture
19716,agriculture
19728,ilegal_mining
19747,agriculture
19751,agriculture
19757,agriculture
19799,agriculture
19839,ilegal_mining
19845,ilegal_mining
19865,agriculture
19884,ilegal_mining
19945,ilegal_mining
19946,ilegal_mining
19986,ilegal_mining
19988,agriculture
20059,ilegal_mining
20062,ilegal_mining
20063,ilegal_mining
20070,ilegal_mining
20101,ilegal_mining
20105,agriculture
20129,agriculture
20140,agriculture
20162,agriculture
20208,agriculture
20218,agriculture
20219,agriculture
20263,agriculture
20270,agriculture
20290,agriculture
20295,agriculture
20304,agriculture
20368,agriculture
20373,agriculture
20375,agriculture
20419,ilegal_mining
20428,agriculture
20435,agriculture
20506,agriculture
20546,agriculture
20574,agriculture
20575,agriculture
20611,agriculture
20630,agriculture
20651,agriculture
20654,agriculture
20658,agriculture
20662,ilegal_mining
20786,agriculture
20787,agriculture
20799,agriculture
20824,ilegal_mining
20840,ilegal_mining
20842,agriculture
20850,agriculture
20924,agriculture
20926,ilegal_mining
20940,ilegal_mining
20948,agriculture
21010,agriculture
21018,agriculture
21022,agriculture
21093,ilegal_mining
21097,ilegal_mining
21100,agriculture
21154,ilegal_mining
21229,agriculture
21232,agriculture
21365,agriculture
21377,agriculture
21378,ilegal_mining
21398,agriculture
21408,agriculture
21421,agriculture
21486,agriculture
21487,agriculture
21488,agriculture
21501,agriculture
21526,agriculture
21541,ilegal_mining
21544,agriculture
21553,agriculture
21563,agriculture
21565,agriculture
21567,agriculture
21569,agriculture
21595,agriculture
21639,agriculture
21650,agriculture
21652,agriculture
21661,ilegal_mining
21714,agriculture
21735,agriculture
21792,agriculture
21829,agriculture
21842,agriculture
21957,ilegal_mining
21963,agriculture
21968,agriculture
21995,agriculture
22000,agriculture
22036,agriculture
22041,ilegal_mining
22060,ilegal_mining
22112,agriculture
22159,agriculture
22176,agriculture
22183,agriculture
22184,agriculture
22188,agriculture
22200,agriculture
22205,agriculture
22319,agriculture
22413,ilegal_mining
22423,agriculture
22507,agriculture
22542,agriculture
22552,agriculture
22554,agriculture
22559,ilegal_mining
22573,agriculture
22603,agriculture
22610,agriculture
22656,agriculture
22736,ilegal_mining
22745,agriculture
22777,ilegal_mining
22780,agriculture
22795,ilegal_mining
22797,agriculture
22811,agriculture
22812,agriculture
22814,agriculture
22853,agriculture
22873,agriculture
22883,ilegal_mining
22911,agriculture
22927,agriculture
22932,agriculture
22940,agriculture
22947,agriculture
22956,agriculture
23010,agriculture
23023,agriculture
23025,agriculture
23065,ilegal_mining
23232,agriculture
23239,ilegal_mining
23240,agriculture
23252,agriculture
23283,agriculture
23327,ilegal_mining
23332,ilegal_mining
23335,agriculture
23344,agriculture
23355,agriculture
23473,agriculture
23486,agriculture
23588,agriculture
23683,ilegal_mining
23708,agriculture
23715,ilegal_mining
23756,agriculture
23773,agriculture
23792,agriculture
23803,agriculture
23835,agriculture
23858,agriculture
23922,agriculture
23959,agriculture
23980,agriculture
24038,agriculture
24050,agriculture
24056,agriculture
24064,agriculture
24081,agriculture
24249,agriculture
24262,agriculture
24264,agriculture
24268,agriculture
24290,agriculture
24295,agriculture
24296,agriculture
24303,agriculture
24347,agriculture
24413,agriculture
24501,agriculture
24502,agriculture
24505,ilegal_mining
24602,agriculture
24615,agriculture
24636,agriculture
24656,agriculture
24659,agriculture
24667,agriculture
24669,agriculture
24679,ilegal_mining
24703,agriculture
24712,agriculture
24724,agriculture
24754,ilegal_mining
24760,agriculture
24761,agriculture
24765,agriculture
24818,agriculture
24831,agriculture
24851,agriculture
24852,agriculture
24860,agriculture
24871,agriculture
24889,agriculture
24916,agriculture
24924,agriculture
24935,agriculture
24959,agriculture
24968,agriculture
25136,agriculture
25145,agriculture
25170,agriculture
25505,agriculture
25708,agriculture
25711,ilegal_mining
25802,ilegal_mining
26189,agriculture
26191,agriculture
26192,agriculture
26193,agriculture
26202,agriculture
26213,agriculture
26220,agriculture
26222,agriculture
26225,agriculture
26229,agriculture
26232,agriculture
26234,agriculture
26238,agriculture
26242,agriculture
26244,agriculture
26249,agriculture
26250,agriculture
26291,ilegal_mining
26335,agriculture
26341,agriculture
26350,agriculture
26361,agriculture
26395,agriculture
26406,ilegal_mining
26409,agriculture
26430,agriculture
26453,agriculture
26484,agriculture
26494,ilegal_mining
26753,agriculture
26771,agriculture
26955,agriculture
27014,agriculture
27081,agriculture
27089,agriculture
27099,agriculture
27107,agriculture
27115,agriculture
27118,urban_expansion
27128,ilegal_mining
27159,ilegal_mining
27160,ilegal_mining
27201,agriculture
27203,agriculture
27339,agriculture
27392,agriculture
27463,agriculture
27485,agriculture
27540,agriculture
27565,ilegal_mining
27571,agriculture
27580,agriculture
27598,agriculture
27602,agriculture
27608,agriculture
27609,agriculture
27786,agriculture
27788,agriculture
27857,agriculture
27872,ilegal_mining
27901,ilegal_mining
27904,ilegal_mining
27929,ilegal_mining
27941,ilegal_mining
27958,ilegal_mining
28071,agriculture
28072,agriculture
28181,agriculture
28278,agriculture
28282,ilegal_mining
28314,agriculture
28318,agriculture
28339,ilegal_mining
28354,agriculture
28358,agriculture
28374,agriculture
28375,agriculture
28395,agriculture
28396,agriculture
28410,agriculture
28415,agriculture
28436,agriculture
28447,agriculture
28449,agriculture
28498,agriculture
28529,agriculture
28535,agriculture
28538,agriculture
28539,agriculture
28547,agriculture
28559,agriculture
28571,agriculture
28574,agriculture
28602,agriculture
28784,agriculture
28854,agriculture
28867,agriculture
28895,agriculture
29179,agriculture
29182,agriculture
29188,agriculture
29191,agriculture
29439,agriculture
29448,agriculture
29476,agriculture
29582,agriculture
29662,ilegal_mining
29695,ilegal_mining
29703,ilegal_mining
29708,ilegal_mining
29859,agriculture
29988,ilegal_mining
30030,ilegal_mining
30053,ilegal_mining
30087,ilegal_mining
30132,ilegal_mining
30321,agriculture
30323,ilegal_mining
30324,ilegal_mining
30354,ilegal_mining
30451,ilegal_mining
30557,ilegal_mining
30567,agriculture
30603,agriculture
30665,ilegal_mining
30726,agriculture
30737,agriculture
30869,ilegal_mining
30944,ilegal_mining
31091,agriculture
31135,agriculture
31138,agriculture
31157,agriculture
31171,agriculture
31201,agriculture
31235,ilegal_mining
31262,agriculture
31264,agriculture
31308,agriculture
31332,agriculture
31393,agriculture
31421,ilegal_mining
31422,agriculture
31453,ilegal_mining
31461,agriculture
31464,agriculture
31474,agriculture
31479,agriculture
31490,ilegal_mining
31497,ilegal_mining
31509,ilegal_mining
31539,agriculture
31544,agriculture
31550,agriculture
31572,agriculture
31582,agriculture
31595,agriculture
31601,agriculture
31607,agriculture
31630,ilegal_mining
31763,ilegal_mining
31824,agriculture
31828,agriculture
31834,agriculture
31835,ilegal_mining
31836,ilegal_mining
31848,agriculture
31862,agriculture
31884,agriculture
31890,agriculture
31894,agriculture
31899,agriculture
31930,ilegal_mining
31944,agriculture
31956,agriculture
31960,agriculture
31967,ilegal_mining
31993,agriculture
32005,agriculture
32019,ilegal_mining
32020,agriculture
32025,agriculture
32036,agriculture
32053,ilegal_mining
32054,agriculture
32063,agriculture
32083,agriculture
32085,ilegal_mining
32092,agriculture
32104,ilegal_mining
32121,agriculture
32128,agriculture
32137,agriculture
32145,agriculture
32160,ilegal_mining
32166,agriculture
